Date,Description,Category,Amount,Balance,Reference,Account,Status
2025-03-30,Procurement framework fox framework info,Travel,-4880.28,326917.76,REF-227732,ACC-9460,Reconciled
2025-04-01,Framework allocation expenses the stakeh,Insurance,-4145.04,322772.72,REF-184834,ACC-4797,Cleared
2025-04-04,Client financial allocation information ,Legal,-4682.05,318090.67,REF-446770,ACC-5170,Reconciled
2025-04-05,Procurement expenses audit invoice jumps,Legal,115.15,318205.82,REF-182714,ACC-8542,Pending
2025-04-10,Quick invoice the brown property terms r,Payroll,9958.57,328164.39,REF-629489,ACC-3614,Cleared
2025-04-11,Non-disclosure timeline quarterly report,Utilities,6798.69,334963.08,REF-212970,ACC-9020,Reconciled
2025-04-13,Framework vendor disclosure payment impl,Legal,-3671.07,331292.01,REF-118090,ACC-2223,Cleared
2025-04-16,Delivery agreement timeline framework ve,Marketing,1885.33,333177.34,REF-529860,ACC-5288,Pending
2025-04-19,Proprietary planning project timeline th,Software,-9872.55,323304.79,REF-519749,ACC-6459,Pending
2025-04-21,Strategic implementation disclosure info,Payroll,-4796.83,318507.96,REF-691026,ACC-9361,Reconciled
2025-04-25,Disclosure quick strategic assessment di,Office Supplies,-2785.00,315722.96,REF-113759,ACC-9582,Pending
2025-04-29,Property brown regulatory brown informat,Marketing,-5228.00,310494.96,REF-107448,ACC-3398,Reconciled
2025-05-02,Assessment timeline fox resource quick i,Utilities,1212.46,311707.42,REF-437783,ACC-6979,Reconciled
2025-05-04,Invoice client reserved client meeting t,Insurance,7218.14,318925.56,REF-472985,ACC-1411,Cleared
2025-05-07,Delivery expenses budget milestone contr,Travel,3974.13,322899.69,REF-882731,ACC-1410,Pending
2025-05-12,The the the non-disclosure client reserv,Travel,3224.10,326123.79,REF-291672,ACC-6782,Pending
2025-05-14,Compliance financial meeting regulatory ,Utilities,-9829.18,316294.61,REF-509460,ACC-3960,Reconciled
2025-05-16,Confidential rights risk jumps lazy allo,Payroll,7922.48,324217.09,REF-361281,ACC-6693,Reconciled
2025-05-18,Quick non-disclosure audit invoice discl,Payroll,-5152.65,319064.44,REF-154634,ACC-1355,Pending
2025-05-21,Lazy the implementation meeting client b,Legal,-6965.62,312098.82,REF-394137,ACC-1632,Reconciled
2025-05-25,Assessment lazy procurement lazy financi,Payroll,6228.21,318327.03,REF-138228,ACC-5116,Cleared
2025-05-29,Meeting confidential timeline client fra,Insurance,2729.63,321056.66,REF-673356,ACC-7867,Reconciled
2025-06-01,Resource delivery timeline delivery jump,Software,-529.40,320527.26,REF-511415,ACC-3616,Reconciled
2025-06-03,Management jumps over management project,Office Supplies,1892.69,322419.95,REF-706498,ACC-2624,Pending
2025-06-04,Audit terms confidential regulatory jump,Consulting,-9648.26,312771.69,REF-722601,ACC-9903,Pending
2025-06-05,Quick contract payment compliance assess,Software,-4048.55,308723.14,REF-248035,ACC-1923,Reconciled
2025-06-06,Disclosure jumps quarterly quick deliver,Consulting,-9933.81,298789.33,REF-884497,ACC-1946,Reconciled
2025-06-08,Dog payment expenses rights financial cl,Insurance,-6260.42,292528.91,REF-667548,ACC-3032,Reconciled
2025-06-11,Confidential regulatory proprietary brow,Software,-9441.80,283087.11,REF-623058,ACC-4982,Reconciled
2025-06-16,Jumps milestone audit management financi,Software,2665.12,285752.23,REF-881663,ACC-4110,Pending
2025-06-18,Implementation strategic intellectual te,Office Supplies,2970.28,288722.51,REF-136354,ACC-9908,Pending
2025-06-21,Management procurement risk audit resour,Consulting,4640.61,293363.12,REF-893395,ACC-3046,Cleared
2025-06-25,Regulatory stakeholder brown over regula,Software,346.02,293709.14,REF-411784,ACC-2355,Cleared
